@relation membercard

@attribute marital_status {0, 1}
@attribute num_children_at_home numeric
@attribute member_card {Basic, Normal, Silver, Gold}
@attribute age numeric
@attribute year_income numeric


@data
1,?,Basic,49,80000
1,1.0,Gold,47,120000
?,?,Basic,89,140000
1,1.0,Basic,52,40000
?,1.0,Basic,86,80000
1,1.0,Normal,35,20000
?,?,Basic,44,40000
?,?,Silver,23,60000
1,3.0,Silver,52,60000
?,?,Basic,34,140000
1,2.0,Normal,32,20000
1,1.0,Normal,38,60000
1,3.0,Gold,61,80000
1,?,Gold,64,160000
1,1.0,Basic,64,140000
1,?,Silver,26,40000
?,1.0,Normal,33,40000
?,?,Basic,57,40000
?,1.0,Basic,46,140000
1,?,Basic,35,40000
1,1.0,Silver,37,80000
?,2.0,Basic,24,60000
?,5.0,Gold,71,100000
1,?,Silver,88,140000
?,?,Normal,85,40000
1,2.0,Basic,23,60000
1,4.0,Gold,59,40000
?,?,Basic,33,40000
?,1.0,Silver,82,40000
1,?,Normal,53,20000
?,3.0,Normal,21,20000
1,1.0,Gold,79,80000
?,1.0,Basic,54,40000
1,?,Basic,58,40000
1,1.0,Gold,73,160000
?,2.0,Silver,30,80000
1,2.0,Basic,30,120000
1,2.0,Normal,43,20000
?,1.0,Silver,58,40000
1,1.0,Silver,43,100000
1,4.0,Gold,66,40000
1,?,Basic,42,40000
1,1.0,Basic,46,40000
?,1.0,Basic,58,40000
1,1.0,Gold,75,60000
?,?,Basic,72,60000
?,?,Normal,78,20000
1,1.0,Gold,34,40000
1,?,Silver,47,120000
?,1.0,Basic,77,60000
1,1.0,Gold,59,120000
1,?,Basic,55,80000
?,?,Gold,51,100000
?,?,Basic,32,40000
?,2.0,Normal,85,140000
?,2.0,Silver,26,40000
1,5.0,Gold,29,40000
?,1.0,Silver,31,120000
1,1.0,Basic,73,60000
?,3.0,Gold,41,60000
1,2.0,Basic,80,40000
1,1.0,Basic,45,60000
1,1.0,Basic,77,40000
1,3.0,Gold,83,40000
1,1.0,Gold,52,80000
1,?,Normal,50,20000
1,1.0,Normal,70,20000
1,1.0,Basic,22,140000
1,1.0,Silver,56,40000
1,2.0,Basic,47,40000
?,?,Basic,56,100000
1,?,Normal,35,60000
?,2.0,Basic,64,40000
?,1.0,Normal,34,20000
1,3.0,Gold,44,160000
1,?,Basic,49,80000
1,?,Basic,73,40000
?,?,Basic,76,100000
1,2.0,Normal,64,20000
1,3.0,Gold,26,40000
?,1.0,Gold,45,40000
?,1.0,Basic,69,40000
?,1.0,Basic,57,40000
1,?,Normal,47,60000
?,2.0,Basic,49,80000
?,2.0,Normal,90,80000
?,?,Basic,67,40000
?,?,Basic,84,80000
?,3.0,Gold,69,60000
?,2.0,Silver,89,40000
1,?,Basic,55,40000
?,?,Silver,28,40000
1,?,Normal,78,100000
?,3.0,Normal,49,80000
1,?,Basic,75,40000
1,1.0,Basic,75,80000
1,2.0,Normal,50,20000
?,3.0,Gold,42,60000
?,2.0,Silver,68,40000
?,?,Basic,26,120000
?,2.0,Basic,54,140000
1,3.0,Normal,79,20000
1,?,Basic,50,40000
?,1.0,Normal,35,20000
?,1.0,Normal,58,20000
?,?,Basic,34,120000
?,4.0,Gold,38,80000
1,3.0,Gold,50,60000
?,1.0,Basic,68,40000
1,3.0,Gold,65,40000
1,?,Basic,58,40000
1,?,Silver,26,80000
1,?,Basic,39,140000
?,1.0,Basic,57,60000
1,3.0,Gold,52,80000
1,?,Gold,35,40000
?,1.0,Basic,43,80000
?,1.0,Normal,24,60000
?,3.0,Gold,25,40000
1,2.0,Basic,36,40000
1,1.0,Basic,27,80000
1,?,Basic,41,40000
?,2.0,Basic,83,40000
?,?,Basic,51,60000
1,2.0,Normal,37,80000
?,1.0,Silver,72,160000
1,1.0,Gold,33,40000
?,1.0,Basic,39,120000
?,1.0,Basic,78,80000
1,1.0,Basic,76,140000
?,?,Basic,27,40000
1,1.0,Normal,48,20000
1,?,Normal,82,20000
?,5.0,Normal,31,20000
1,3.0,Gold,52,40000
1,3.0,Silver,27,40000
?,2.0,Silver,56,120000
