MaritalStatus,Num_ChildrenAtHome,MemberCard,Age,YearIncome
,2,Normal,62,20000
M,,Basic,54,80000
M,,Silver,68,40000
M,3,Gold,26,40000
,,Normal,74,20000
M,3,Gold,87,60000
M,2,Basic,32,60000
M,5,Gold,86,160000
M,1,Basic,59,60000
M,1,Basic,78,40000
,,Gold,87,120000
,,Normal,78,20000
,,Basic,25,40000
M,1,Basic,77,40000
,2,Silver,87,40000
,1,Basic,23,40000
,,Basic,34,60000
,1,Gold,38,100000
M,,Normal,37,40000
M,,Basic,69,80000
,1,Gold,76,60000
,1,Basic,42,80000
M,1,Basic,31,120000
M,1,Basic,20,120000
M,2,Gold,80,40000
,2,Basic,67,40000
M,1,Basic,44,120000
,,Normal,61,20000
,,Basic,58,40000
M,1,Basic,66,60000
,3,Gold,32,60000
,2,Basic,76,80000
M,1,Normal,67,20000
M,,Gold,27,160000
M,3,Gold,64,60000
M,,Normal,64,120000
,,Basic,39,40000
M,2,Basic,39,40000
,2,Basic,54,120000
,,Basic,81,80000
M,1,Basic,51,60000
,3,Silver,64,140000
,1,Basic,79,140000
,1,Basic,64,40000
M,1,Basic,87,40000
M,1,Basic,63,40000
M,1,Basic,67,60000
,,Basic,79,40000
,2,Basic,26,100000
M,1,Normal,35,60000
,4,Silver,29,40000
,1,Basic,55,60000
,,Basic,68,60000
,1,Basic,58,120000
,,Silver,41,40000
,,Basic,36,60000
M,1,Normal,32,20000
,,Basic,25,100000
,2,Basic,66,60000
,1,Basic,89,40000
,1,Normal,80,20000
M,1,Silver,24,80000
M,1,Basic,54,40000
M,1,Basic,34,100000
,3,Gold,89,140000
M,1,Basic,54,140000
,1,Basic,86,80000
M,2,Basic,80,40000
M,,Basic,49,80000
M,1,Gold,47,120000
,,Basic,89,140000
M,1,Basic,52,40000
,1,Basic,86,80000
M,1,Normal,35,20000
,,Basic,44,40000
,,Silver,23,60000
M,3,Silver,52,60000
,,Basic,34,140000
M,2,Normal,32,20000
M,1,Normal,38,60000
M,3,Gold,61,80000
M,,Gold,64,160000
M,1,Basic,64,140000
M,,Silver,26,40000
,1,Normal,33,40000
,,Basic,57,40000
,1,Basic,46,140000
M,,Basic,35,40000
M,1,Silver,37,80000
,2,Basic,24,60000
,5,Gold,71,100000
M,,Silver,88,140000
,,Normal,85,40000
M,2,Basic,23,60000
M,4,Gold,59,40000
,,Basic,33,40000
,1,Silver,82,40000
M,,Normal,53,20000
,3,Normal,21,20000
M,1,Gold,79,80000
,1,Basic,54,40000
M,,Basic,58,40000
M,1,Gold,73,160000
,2,Silver,30,80000
M,2,Basic,30,120000
M,2,Normal,43,20000
,1,Silver,58,40000
M,1,Silver,43,100000
M,4,Gold,66,40000
M,,Basic,42,40000
M,1,Basic,46,40000
,1,Basic,58,40000
M,1,Gold,75,60000
,,Basic,72,60000
,,Normal,78,20000
M,1,Gold,34,40000
M,,Silver,47,120000
,1,Basic,77,60000
M,1,Gold,59,120000
M,,Basic,55,80000
,,Gold,51,100000
,,Basic,32,40000
,2,Normal,85,140000
,2,Silver,26,40000
M,5,Gold,29,40000
,1,Silver,31,120000
M,1,Basic,73,60000
,3,Gold,41,60000
M,2,Basic,80,40000
M,1,Basic,45,60000
M,1,Basic,77,40000
M,3,Gold,83,40000
M,1,Gold,52,80000
M,,Normal,50,20000
M,1,Normal,70,20000
M,1,Basic,22,140000
M,1,Silver,56,40000
M,2,Basic,47,40000
,,Basic,56,100000
M,,Normal,35,60000
,2,Basic,64,40000
,1,Normal,34,20000
M,3,Gold,44,160000
M,,Basic,49,80000
M,,Basic,73,40000
,,Basic,76,100000
M,2,Normal,64,20000
M,3,Gold,26,40000
,1,Gold,45,40000
,1,Basic,69,40000
,1,Basic,57,40000
M,,Normal,47,60000
,2,Basic,49,80000
,2,Normal,90,80000
,,Basic,67,40000
,,Basic,84,80000
,3,Gold,69,60000
,2,Silver,89,40000
M,,Basic,55,40000
,,Silver,28,40000
M,,Normal,78,100000
,3,Normal,49,80000
M,,Basic,75,40000
M,1,Basic,75,80000
M,2,Normal,50,20000
,3,Gold,42,60000
,2,Silver,68,40000
,,Basic,26,120000
,2,Basic,54,140000
M,3,Normal,79,20000
M,,Basic,50,40000
,1,Normal,35,20000
,1,Normal,58,20000
,,Basic,34,120000
,4,Gold,38,80000
M,3,Gold,50,60000
,1,Basic,68,40000
M,3,Gold,65,40000
M,,Basic,58,40000
M,,Silver,26,80000
M,,Basic,39,140000
,1,Basic,57,60000
M,3,Gold,52,80000
M,,Gold,35,40000
,1,Basic,43,80000
,1,Normal,24,60000
,3,Gold,25,40000
M,2,Basic,36,40000
M,1,Basic,27,80000
M,,Basic,41,40000
,2,Basic,83,40000
,,Basic,51,60000
M,2,Normal,37,80000
,1,Silver,72,160000
M,1,Gold,33,40000
,1,Basic,39,120000
,1,Basic,78,80000
M,1,Basic,76,140000
,,Basic,27,40000
M,1,Normal,48,20000
M,,Normal,82,20000
,5,Normal,31,20000
M,3,Gold,52,40000
M,3,Silver,27,40000
,2,Silver,56,120000
